Open,High,Low,Adj Close
4168.88,4344.65,4085.22,4130.81
4122.47,4261.67,4099.4,4161.27
4229.34,4245.44,3951.04,4122.94
4229.81,4308.82,4114.11,4226.06
4605.16,4661,4075.18,4228.75
4589.14,4655.04,4491.33,4599.88
4376.59,4617.25,4376.59,4597.12
4228.29,4427.84,3998.11,4376.53
4591.63,4591.63,4108.4,4236.31
4585.27,4714.08,4417.59,4582.96
4901.42,4975.04,4469.24,4578.77
4701.76,4892.01,4678.53,4892.01
4555.59,4736.05,4549.4,4703.39
4570.36,4626.52,4471.41,4565.3
4389.21,4625.68,4352.13,4579.02
4384.45,4403.93,4224.64,4382.66
4345.1,4416.59,4317.29,4382.88
4372.06,4379.28,4269.52,4352.4
4332.82,4455.7,4307.35,4371.6
4137.6,4376.39,4130.26,4334.68
4089.01,4255.78,4078.41,4151.52
3998.35,4128.76,3674.58,4100.52
4090.48,4109.14,3988.6,4001.74
4189.31,4196.29,4069.88,4087.66
4137.75,4243.26,3970.55,4193.7
4324.34,4370.13,4015.4,4160.62
4384.44,4484.7,4243.71,4331.69
4200.34,4381.23,3994.42,4376.63
4326.99,4455.97,3906.18,4181.93
4066.1,4325.13,3989.16,4325.13
3880.04,4208.39,3857.8,4073.26
3650.63,3949.92,3613.7,3884.71
3373.82,3679.72,3372.12,3650.62
3341.84,3453.45,3319.47,3381.28
3420.4,3422.76,3247.67,3342.47
3370.22,3484.85,3345.83,3419.94
3212.78,3397.68,3180.89,3378.94
3257.61,3293.29,3155.6,3213.94
2897.63,3290.01,2874.83,3252.91
2806.93,2899.33,2743.72,2895.89
2709.56,2813.31,2685.14,2804.73
2727.13,2762.53,2668.59,2710.67
2871.3,2921.35,2685.61,2718.26
2763.24,2889.62,2720.61,2875.34
2724.39,2758.53,2644.85,2757.18
2807.02,2808.76,2692.8,2726.45
2679.73,2897.45,2679.73,2809.01
2538.71,2693.32,2529.34,2671.78
2577.77,2610.76,2450.8,2529.45
2757.5,2768.08,2480.96,2576.48
2732.7,2777.26,2699.19,2754.86
2808.1,2832.18,2653.94,2730.4
2668.63,2862.42,2657.71,2810.12
2838.41,2838.41,2621.85,2667.76
2269.89,2900.7,2269.89,2817.6
2323.08,2397.17,2260.23,2273.43
2233.52,2387.61,2164.77,2318.88
1932.62,2230.49,1932.62,2228.41
1991.98,2058.77,1843.03,1929.82
2230.12,2231.14,1990.41,1998.86
2360.59,2363.25,2183.22,2233.34
2402.7,2425.22,2340.83,2357.9
2332.77,2423.71,2275.14,2398.84
2385.89,2413.47,2296.81,2337.79
2525.25,2537.16,2321.13,2372.56
2572.61,2635.49,2517.59,2518.44
2520.27,2571.34,2492.31,2571.34
2608.59,2916.14,2498.87,2518.66
2608.1,2616.72,2581.69,2608.56
2602.87,2622.65,2538.55,2601.99
2561,2631.59,2559.35,2601.64
2498.56,2595,2480.47,2564.06
2436.4,2514.28,2394.84,2506.47
2492.6,2515.27,2419.23,2434.55
2539.24,2559.25,2478.43,2480.84
2567.56,2588.83,2510.48,2539.32
2553.03,2603.98,2484.42,2574.79
2478.45,2552.45,2332.99,2552.45
2590.57,2615.25,2376.29,2478.45
2607.25,2682.26,2552.12,2589.41
2738.52,2757.94,2583.19,2608.72
2707.34,2765.17,2706.37,2744.91
2691.03,2723.74,2642.36,2705.41
2709.43,2772.01,2660.4,2689.1
2591.26,2763.45,2589.82,2721.79
2549.03,2662.85,2549.03,2589.6
2655.35,2662.1,2516.33,2548.29
2514.01,2685.19,2484.96,2655.88
2469.57,2539.92,2385.15,2518.56
2499.58,2534.71,2212.96,2464.58
2716.88,2786.83,2412.94,2506.37
2680.91,2789.04,2650.38,2717.02
2953.22,2997.26,2518.56,2659.63
2942.41,2996.6,2840.53,2958.11
2828.14,2950.99,2746.55,2947.71
2807.44,2901.71,2795.62,2823.81
2720.49,2815.3,2670.95,2805.62
2869.38,2869.38,2700.56,2732.16
2690.84,2999.91,2690.84,2863.2
2512.4,2686.81,2510.22,2686.81
2547.79,2585.89,2452.54,2511.81
2493.72,2581.91,2423.57,2515.35
2404.03,2488.55,2373.32,2488.55
2288.33,2448.39,2288.33,2407.88
2187.19,2311.08,2145.57,2286.41
2255.36,2301.96,2124.57,2175.47
2159.43,2307.05,2107.17,2255.61
2054.08,2267.34,2054.08,2155.8
2196.27,2260.2,1855.83,2038.87
2320.89,2573.79,2071.99,2202.42
2446.24,2763.71,2285.3,2304.98
2321.37,2523.72,2321.37,2443.64
2191.56,2320.82,2178.5,2320.42
2043.19,2303.9,2017.87,2173.4
2067.03,2119.08,2037.5,2041.2
1984.24,2084.73,1974.92,2084.73
1897.37,2004.52,1890.25,1987.71
1818.7,1904.48,1807.12,1888.65
1726.73,1864.05,1661.91,1839.09
1741.7,1785.94,1686.54,1734.45
1808.44,1812.8,1708.54,1738.43
1800.86,1831.42,1776.62,1808.91
1723.12,1812.99,1651.08,1804.91
1845.76,1856.15,1694.01,1724.24
