Open,High,Low,Adj Close,Date
237.34,237.71,234.26,236.43,2/26/2015
238.89,239.34,235.53,237.47,2/25/2015
239,239.9,236.4,238.74,2/24/2015
236,240.11,232.42,238.89,2/23/2015
244.54,246.39,233.85,235.98,2/22/2015
243.75,255.32,243.18,244.53,2/21/2015
240.25,247.1,239.3,243.78,2/20/2015
236.41,242.67,235.59,240.28,2/19/2015
243.78,244.25,232.34,236.33,2/18/2015
233.42,245.78,232.31,243.61,2/17/2015
234.83,239.52,229.02,233.84,2/16/2015
257.51,265.61,227.68,234.83,2/15/2015
235.53,259.81,235.53,257.32,2/14/2015
221.97,240.26,221.26,235.43,2/13/2015
219.21,222.2,217.61,221.76,2/12/2015
219.73,223.41,218.07,219.19,2/11/2015
220.28,221.81,215.33,219.84,2/10/2015
223.39,223.98,217.02,220.11,2/9/2015
227.69,229.44,221.08,223.41,2/8/2015
222.63,230.3,222.61,227.75,2/7/2015
216.92,230.51,216.23,222.27,2/6/2015
227.67,239.41,214.73,217.11,2/5/2015
227.51,230.06,221.11,226.85,2/4/2015
237.45,245.96,224.48,227.27,2/3/2015
226.49,242.18,222.66,238.23,2/2/2015
216.87,231.57,212.02,226.97,2/1/2015
226.44,233.5,216.31,217.46,1/31/2015
232.77,242.85,225.84,226.43,1/30/2015
233.35,238.71,220.71,233.51,1/29/2015
263.35,266.54,227.05,233.92,1/28/2015
273.17,275.48,250.65,263.48,1/27/2015
254.08,309.38,254.08,273.47,1/26/2015
247.35,255.07,243.89,253.72,1/25/2015
232.7,248.21,230.02,247.85,1/24/2015
233.52,234.85,225.2,232.88,1/23/2015
227.32,237.02,226.43,233.41,1/22/2015
211.38,227.79,211.21,226.9,1/21/2015
212.91,215.24,205.15,211.32,1/20/2015
211.47,216.73,207.32,214.86,1/19/2015
200.05,218.7,194.51,210.34,1/18/2015
207.83,211.73,194.88,199.26,1/17/2015
209.07,221.59,199.77,208.1,1/16/2015
176.9,229.07,176.9,209.84,1/15/2015
223.89,223.89,171.51,178.1,1/14/2015
267.39,268.28,219.91,225.86,1/13/2015
266.15,272.2,265.2,267.8,1/12/2015
274.61,279.64,265.04,265.66,1/11/2015
287.3,288.13,273.97,274.8,1/10/2015
282.38,291.11,280.53,290.41,1/9/2015
294.14,294.14,282.18,283.35,1/8/2015
286.08,298.75,283.08,294.34,1/7/2015
274.61,287.55,272.7,286.19,1/6/2015
265.08,278.34,265.08,274.47,1/5/2015
281.15,287.23,257.61,264.2,1/4/2015
314.85,315.15,281.08,281.08,1/3/2015
314.08,315.84,313.57,315.03,1/2/2015
320.44,320.44,314,314.25,1/1/2015
310.91,320.19,310.21,320.19,12/31/2014
312.72,314.81,309.37,310.74,12/30/2014
317.7,320.27,312.31,312.67,12/29/2014
316.16,320.03,311.08,317.24,12/28/2014
327.58,328.91,312.63,315.86,12/27/2014
319.15,331.42,316.63,327.92,12/26/2014
322.29,322.67,316.96,319.01,12/25/2014
334.39,334.74,321.36,322.53,12/24/2014
332.02,336.29,329.6,334.57,12/23/2014
321.07,334.12,320.43,331.89,12/22/2014
329.54,329.63,318.9,320.84,12/21/2014
317.62,330.33,316.04,329.96,12/20/2014
311.18,318.53,306.77,317.84,12/19/2014
319.79,323.71,304.23,311.4,12/18/2014
326.86,333.95,315.15,319.78,12/17/2014
345.67,345.86,327.06,327.06,12/16/2014
351.36,351.82,344.93,345.35,12/15/2014
346.73,353.32,345.42,351.63,12/14/2014
352.38,352.38,346.59,347.38,12/13/2014
350.83,352.98,349.29,352.54,12/12/2014
344.34,361.36,338.76,350.51,12/11/2014
352.21,352.38,346.37,346.37,12/10/2014
361.9,363.07,344.95,352.22,12/9/2014
374.97,376.03,361.89,361.91,12/8/2014
374.84,376.29,373.28,375.1,12/7/2014
376.76,378.45,370.95,374.79,12/6/2014
369.44,379.19,365.76,376.85,12/5/2014
375.72,378.66,367.76,369.6,12/4/2014
381.72,383.03,374.35,375.01,12/3/2014
379.25,384.04,377.86,381.32,12/2/2014
378.25,383.66,376.67,379.25,12/1/2014
375.51,382.53,373.31,378.05,11/30/2014
376.15,387.6,372.15,375.49,11/29/2014
369.37,382.84,358.46,376.45,11/28/2014
370.5,373.99,368.28,369.67,11/27/2014
376.02,377.7,365.82,368.37,11/26/2014
376.89,394.7,374.78,375.35,11/25/2014
366.95,387.21,366.67,376.9,11/24/2014
353.18,370.85,353.18,367.57,11/23/2014
351.6,364.84,350.88,352.92,11/22/2014
357.88,357.88,344.11,350.85,11/21/2014
380.31,382.03,356.78,357.84,11/20/2014
373.9,386.48,373.9,380.56,11/19/2014
387.79,392.4,371.12,375.2,11/18/2014
388.35,410.2,377.5,387.41,11/17/2014
374.73,390.8,374.6,387.88,11/16/2014
399.65,405.53,371.01,376.13,11/15/2014
418.42,419.25,384.79,397.82,11/14/2014
427.27,457.09,401.12,420.74,11/13/2014
367.99,429.72,367.99,423.56,11/12/2014
365.86,371.31,363.74,367.7,11/11/2014
362.27,374.82,357.56,366.92,11/10/2014
345.38,363.63,344.26,363.26,11/9/2014
342.15,347.03,342.15,345.49,11/8/2014
349.82,352.73,341.78,342.42,11/7/2014
339.46,352.97,338.42,349.29,11/6/2014
330.68,343.37,330.68,339.49,11/5/2014
327.16,331.77,325.08,330.49,11/4/2014
325.57,334,325.48,327.55,11/3/2014
326.08,329.05,320.63,325.89,11/2/2014
338.65,340.53,321.06,325.75,11/1/2014
345.01,348.05,337.14,338.32,10/31/2014
335.71,350.91,335.07,345.31,10/30/2014
357.09,357.83,335.34,335.59,10/29/2014
353.22,359.98,352.68,357.62,10/28/2014
354.78,358.63,349.81,352.99,10/27/2014
347.49,359.22,343.93,354.7,10/26/2014
358.61,359.86,342.88,347.27,10/25/2014
358.59,364.35,353.31,358.35,10/24/2014
382.96,385.05,356.45,358.42,10/23/2014
386.12,388.58,382.25,383.16,10/22/2014
382.42,392.65,380.83,386.48,10/21/2014
389.23,390.08,378.25,382.85,10/20/2014
391.25,393.94,386.46,389.55,10/19/2014
383.98,395.16,378.97,391.44,10/18/2014
382.76,385.48,375.39,383.76,10/17/2014
394.52,398.81,373.07,382.56,10/16/2014
400.96,402.23,388.77,394.77,10/15/2014
391.69,411.7,391.32,400.87,10/14/2014
377.92,397.23,368.9,390.41,10/13/2014
362.61,379.43,356.14,378.55,10/12/2014
361.36,367.19,355.95,362.3,10/11/2014
364.69,375.07,352.96,361.56,10/10/2014
